Предисловие 	 page 1
Введение 	 page 2
Том I 	 page 5
Глава первая. СОЗДАНИЕ ПИСЬМЕННОСТИ 	 page 5
1. Из истории Кабардино-Черкесской письменности 	 page 5
2. Диалектная основа кабардино-черкесского литературного языка 	 page 8
3. Вопросы алфавитов, орфографии и терминологии 	 page 10
3.1. Разработка алфавитов 	 page 10
3.2. Разработка орфографии 	 page 13
3.3. Разработка терминологии 	 page 15
4. Понятие «кабардино-черкесский литературный язык» 	 page 17
5. О концепции общего литературного языка 	 page 20
6. Этноязыковые перспективы в условиях диаспоры 	 page 21
7. Латиница или кириллица? 	 page 23
8. О новом проекте унификации алфавитов и орфографий 	 page 26
Глава вторая. ФОНЕТИКА И ФОНОЛОГИЯ 	 page 32
1. Общая характеристика звуковой системы 	 page 32
2. Классификация согласных звуков 	 page 32
2.1.Система смычных согласных 	 page 32
2.2. Система спирантов 	 page 34
2.3. Сонорные звуки 	 page 34
2.4. Переднеязычные свистящие спиранты з, с 	 page 34
2.5. Переднеязычные шипящие спиранты ж, ш 	 page 34
2.6. Переднеязычные свистяще-шипящие спиранты жь, щ, щI 	 page 34
2.7. Среднеязычные спиранты г, х, ху 	 page 35
2.8. Заднеязычные спиранты гъ, хъ, гъу, хъу 	 page 35
2.9. Ларингальные спиранты хь, гI, гIу 	 page 35
3. СИСТЕМА ГЛАСНЫХ 	 page 35
4. ДИФТОНГИЧЕСКИЕ ОБРАЗОВАНИЯ 	 page 36
5. Мелодика речи 	 page 36
6. Звуковой состав корня 	 page 37
7. Звуковой состав аффиксов 	 page 37
8. Звуковые комплексы 	 page 37
9. Фонетические процессы 	 page 38
9.1. Регрессивная ассимиляция 	 page 38
iv
9.2. Интервокальное озвончение согласных 	 page 39
9.3. Комбинаторные изменения гласных 	 page 39
10. ФОНЕТИКА ЗАИМСТВОВАННЫХ СЛОВ 	 page 39
10.1. Аспекты фонетической ассимиляции 	 page 40
10.2. Реализация русских неначальных гласных в заимствованных словах 	 page 40
10.3. Отсутствие в кабардинском языке начальных гласных вызывает различные изменения в заимствованиях 	 page 40
10.4. 0тсутствие стечения двух и более гласных в корнях кабардино-черкесских слов 	 page 40
10.5. Перенос акцентологических законов родного языка на заимствуемые слова – особая разновидность фонетической ассимиляции. 	 page 41
